DATE	NEGCODE	NAME	SECTOR	WEIGHT	FORWARDReturn
2017-11-29	NATU3	Natura Cosméticos S.A.	Consumer Goods	0.0043630000000000006	0.10753768844221108
2017-11-29	PCAR4	Companhia Brasileira de Distribuição	Services	0.009603	0.11231679819616705
2017-11-29	PETR3	Petróleo Brasileiro S.A. - Petrobras	Basic Materials	0.032506	0.06285355122564425
2017-11-29	PETR4	Petróleo Brasileiro S.A. - Petrobras	Basic Materials	0.048365	0.05022831050228319
2017-11-29	QUAL3	Qualicorp S.A.	Healthcare	0.00718	0.0064935064935064705
2017-11-29	RADL3	Raia Drogasil S.A.	Healthcare	0.012583	0.03623433796139512
2017-11-29	RAIL3	Rumo S.A.	Services	0.007554	0.013281249999999994
2017-11-29	SBSP3	Companhia de Saneamento Básico do Estado de São Paulo - SABESP	Utilities	0.009389	0.03559577677224735
2017-11-29	SANB11	BCO Santander(Brasil) S.A.	Financial	0.009205999999999999	0.08251273344651952
2017-11-29	CSNA3	Companhia Siderúrgica Nacional	Basic Materials	0.004488	0.11436170212765974
2017-11-29	TAEE11	Transmissora Aliança de Energia Elétrica S.A.	Utilities	0.0035670000000000003	-0.016589861751152048
2017-11-29	VIVT4	Telefônica Brasil S.A.	Technology	0.017415	0.013761467889908185
2017-11-29	TIMP3	TIM Participações S.A.	Technology	0.007832	0.07907742998352546
2017-11-29	UGPA3	Ultrapar Participações S.A.	Basic Materials	0.025359	0.06594656054576464
2017-11-29	USIM5	Usinas Siderúrgicas de Minas Gerais S.A.	Basic Materials	0.003024	0.02247191011235947
2017-11-29	VALE3	Vale S.A.	Basic Materials	0.090439	0.12773109243697464
2017-11-29	WEGE3	WEG S.A.	Industrial Goods	0.010008	0.057456140350877136
2017-10-27	ABEV3	Ambev S.A.	Consumer Goods	0.070389	-0.016738402678144495
2017-10-27	BBSE3	BB Seguridade Participações S.A.	Financial	0.015991	-0.061188811188811185
2017-10-27	BVMF3	B3 S.A. - Brasil, Bolsa, Balcão	Financial	0.038677	-0.06337186129932243
2017-10-27	BRML3	BR Malls Participações S.A.	Financial	0.009792	-0.07488653555219366
2017-10-27	BBDC3	Banco Bradesco S.A.	Financial	0.015069999999999998	-0.08902077151335322
2017-10-27	BBDC4	Banco Bradesco S.A.	Financial	0.084595	-0.08186644314054205
2017-10-27	BRAP4	Bradespar S.A.	Financial	0.005115	0.049382716049382686
2017-10-27	BBAS3	Banco do Brasil S.A.	Financial	0.032339	-0.1463013698630137
2017-10-27	BRKM5	Braskem S.A.	Basic Materials	0.008661	-0.04015979814970571
2017-10-27	BRFS3	BRF S.A.	Consumer Goods	0.029184	-0.1268888888888889
2017-10-27	CCRO3	CCR S.A.	Industrial Goods	0.016733	-0.13746630727762807
2017-10-27	CMIG4	Companhia Energética de Minas Gerais	Utilities	0.005992	-0.12250000000000005
2017-10-27	CIEL3	Cielo S.A.	Technology	0.021523	0.09632808774439675
2017-10-27	CPLE6	Companhia Paranaense de Energia - COPEL	Utilities	0.002493	-0.08575746127691725
2017-10-27	CSAN3	Cosan S.A. Indústria e Comércio	Basic Materials	0.0050929999999999994	-0.04093413802151672
2017-10-27	CPFE3	CPFL Energia S.A.	Utilities	0.010744	-0.07871720116618076
2017-10-27	CYRE3	Cyrela Brazil Realty S.A. Empreendimentos e Participações	Industrial Goods	0.002762	-0.06320541760722347
2017-10-27	ECOR3	EcoRodovias Infraestrutura e Logística S.A.	Industrial Goods	0.0017100000000000001	-0.01941747572815536
2017-10-27	ELET3	Centrais Elétricas Brasileiras S.A. - Eletrobras	Utilities	0.004082	-0.14609141392567287
2017-10-27	ELET6	Centrais Elétricas Brasileiras S.A. - Eletrobras	Utilities	0.003985	-0.16996336996336997
2017-10-27	EMBR3	Embraer S.A.	Industrial Goods	0.011297999999999999	-0.003843689942344569
2017-10-27	ENBR3	EDP - Energias do Brasil S.A.	Utilities	0.003865	-0.05
2017-10-27	EGIE3	Engie Brasil Energia S.A.	Utilities	0.006321	-0.014196014196014281
2017-10-27	EQTL3	Equatorial Energia S.A.	Utilities	0.010399	0.030303030303030165
2017-10-27	ESTC3	Estácio Participações S.A.	Services	0.006836	0.08415492957746482
2017-10-27	FIBR3	Fibria Celulose S.A.	Consumer Goods	0.008239	-0.08830822048445551
2017-10-27	GGBR4	Gerdau S.A.	Basic Materials	0.010128999999999999	-0.041450777202072575
2017-10-27	GOAU4	Metalurgica Gerdau S.A.	Basic Materials	0.0027800000000000004	-0.06727272727272729
2017-10-27	HYPE3	Hypera S.A.	Healthcare	0.010065	-0.028823529411764613
2017-10-27	ITSA4	Itaúsa - Investimentos Itaú S.A.	Financial	0.033778	-0.05919282511210763
2017-10-27	ITUB4	Itaú Unibanco Holding S.A.	Financial	0.108072	-0.040989237462789076
2017-10-27	JBSS3	JBS S.A.	Consumer Goods	0.011401	0.014304291287386141
2017-10-27	KLBN11	Klabin S.A.	Basic Materials	0.007554	-0.06091894682498707
2017-10-27	KROT3	Kroton Educacional S.A.	Services	0.022525	-0.0032858707557503982
2017-10-27	RENT3	Localiza Rent a Car S.A.	Services	0.00842	-0.6491525423728813
2017-10-27	LAME4	Lojas Americanas S.A.	Services	0.010216000000000001	-0.13337084974676416
2017-10-27	LREN3	Lojas Renner S.A.	Services	0.018491999999999998	-0.04255319148936159
2017-10-27	MRFG3	Marfrig Global Foods S.A.	Consumer Goods	0.002465	0.06259541984732826
2017-10-27	MRVE3	MRV Engenharia e Participações S.A.	Industrial Goods	0.003281	0.0029261155815655396
2017-10-27	MULT3	Multiplan Empreendimentos Imobiliários S.A.	Financial	0.00561	-0.04928716904276999
2017-10-27	NATU3	Natura Cosméticos S.A.	Consumer Goods	0.0043630000000000006	-0.06718749999999996
2017-10-27	PCAR4	Companhia Brasileira de Distribuição	Services	0.009603	-0.10943775100401622
2017-10-27	PETR3	Petróleo Brasileiro S.A. - Petrobras	Basic Materials	0.032506	-0.08563218390804589
2017-10-27	PETR4	Petróleo Brasileiro S.A. - Petrobras	Basic Materials	0.048365	-0.0998238402818556
2017-10-27	QUAL3	Qualicorp S.A.	Healthcare	0.00718	-0.11999999999999998
2017-10-27	RADL3	Raia Drogasil S.A.	Healthcare	0.012583	0.1372272143774069
2017-10-27	RAIL3	Rumo S.A.	Services	0.007554	-0.03541823662396374
2017-10-27	SBSP3	Companhia de Saneamento Básico do Estado de São Paulo - SABESP	Utilities	0.009389	0.09046052631578948
2017-10-27	SANB11	BCO Santander(Brasil) S.A.	Financial	0.009205999999999999	-0.019966722129783742
2017-10-27	CSNA3	Companhia Siderúrgica Nacional	Basic Materials	0.004488	-0.16997792494481245
2017-10-27	TAEE11	Transmissora Aliança de Energia Elétrica S.A.	Utilities	0.0035670000000000003	0.04830917874396135
2017-10-27	VIVT4	Telefônica Brasil S.A.	Technology	0.017415	-0.06801399144966964
2017-10-27	TIMP3	TIM Participações S.A.	Technology	0.007832	-0.016207455429497513
2017-10-27	UGPA3	Ultrapar Participações S.A.	Basic Materials	0.025359	-0.11818523624514357
2017-10-27	USIM5	Usinas Siderúrgicas de Minas Gerais S.A.	Basic Materials	0.003024	-0.025191675794085478
2017-10-27	VALE3	Vale S.A.	Basic Materials	0.090439	0.09677419354838727
2017-10-27	WEGE3	WEG S.A.	Industrial Goods	0.010008	0.05604446503010657
2017-09-28	ABEV3	Ambev S.A.	Consumer Goods	0.070389	-0.007122507122507056
2017-09-28	BBSE3	BB Seguridade Participações S.A.	Financial	0.015991	0.0024535576586049873
2017-09-28	BVMF3	B3 S.A. - Brasil, Bolsa, Balcão	Financial	0.038677	0.07084933845497227
2017-09-28	BRML3	BR Malls Participações S.A.	Financial	0.009792	-0.0489208633093525
2017-09-28	BBDC3	Banco Bradesco S.A.	Financial	0.015069999999999998	0.024316109422492533
2017-09-28	BBDC4	Banco Bradesco S.A.	Financial	0.084595	0.035590277777777686
2017-09-28	BRAP4	Bradespar S.A.	Financial	0.005115	0.02402022756005058
2017-09-28	BBAS3	Banco do Brasil S.A.	Financial	0.032339	0.05705183898059655
2017-09-28	BRKM5	Braskem S.A.	Basic Materials	0.008661	0.1288867790173273
2017-09-28	BRFS3	BRF S.A.	Consumer Goods	0.029184	-0.01294143452511523
2017-09-28	CCRO3	CCR S.A.	Industrial Goods	0.016733	0.06547960941987367
2017-09-28	CMIG4	Companhia Energética de Minas Gerais	Utilities	0.005992	-0.0062111801242236905
2017-09-28	CIEL3	Cielo S.A.	Technology	0.021523	-0.02419730107026522
2017-09-28	CPLE6	Companhia Paranaense de Energia - COPEL	Utilities	0.002493	-0.06001420454545459
2017-09-28	CSAN3	Cosan S.A. Indústria e Comércio	Basic Materials	0.0050929999999999994	0.05861111111111109
2017-09-28	CPFE3	CPFL Energia S.A.	Utilities	0.010744	0.009565857247976511
2017-09-28	CYRE3	Cyrela Brazil Realty S.A. Empreendimentos e Participações	Industrial Goods	0.002762	-0.005983545250560963
2017-09-28	ECOR3	EcoRodovias Infraestrutura e Logística S.A.	Industrial Goods	0.0017100000000000001	0.11855203619909489
2017-09-28	ELET3	Centrais Elétricas Brasileiras S.A. - Eletrobras	Utilities	0.004082	0.19744245524296672
2017-09-28	ELET6	Centrais Elétricas Brasileiras S.A. - Eletrobras	Utilities	0.003985	0.20529801324503322
2017-09-28	EMBR3	Embraer S.A.	Industrial Goods	0.011297999999999999	-0.1337402885682575
2017-09-28	ENBR3	EDP - Energias do Brasil S.A.	Utilities	0.003865	0.0
2017-09-28	EGIE3	Engie Brasil Energia S.A.	Utilities	0.006321	0.007980187121629035
2017-09-28	EQTL3	Equatorial Energia S.A.	Utilities	0.010399	0.024509803921568627
2017-09-28	ESTC3	Estácio Participações S.A.	Services	0.006836	-0.07642276422764233
2017-09-28	FIBR3	Fibria Celulose S.A.	Consumer Goods	0.008239	0.21506373117033606
2017-09-28	GGBR4	Gerdau S.A.	Basic Materials	0.010128999999999999	0.06629834254143653
2017-09-28	GOAU4	Metalurgica Gerdau S.A.	Basic Materials	0.0027800000000000004	0.07421874999999997
