CODE	SITUATION	YAHOOCODE	NAME	SECTOR	memberP1	memberP2	memberP3	memberP4	memberP5	memberP6	
VALE5	off	NULLCODE	Vale S.A	Basic Materials	1	1	1	1	0	0	
ESTC3	on	ESTC3.SA	Estácio Participações S.A.	Services	1	1	1	1	1	1	
NATU3	on	NATU3.SA	Natura Cosméticos S.A.	Consumer Goods	1	1	1	1	1	1	
SMLE3	off	NULLCODE	Smiles S.A.	Consumer Goods	1	1	1	1	1	0	
MULT3	on	MULT3.SA	Multiplan Empreendimentos Imobiliários S.A.	Financial	1	1	1	1	1	1	
GGBR4	on	GGBR4.SA	Gerdau S.A.	Basic Materials	1	1	1	1	1	1	
SBSP3	on	SBSP3.SA	Companhia de Saneamento Básico do Estado de São Paulo - SABESP	Utilities	1	1	1	1	1	1	
CPLE6	on	CPLE6.SA	Companhia Paranaense de Energia - COPEL	Utilities	1	1	1	1	1	1	
SUZB3	on	SUZB3.SA	Suzano Papel e Celulose S.A.	Consumer Goods	0	0	0	0	0	1	
BBDC3	on	BBDC3.SA	Banco Bradesco S.A.	Financial	1	1	1	1	1	1	
VALE3	on	VALE3.SA	Vale S.A.	Basic Materials	1	1	1	1	1	1	
VVAR11	on	VVAR11.SA	Via Varejo S.A.	Services	0	0	0	0	0	1	
FLRY3	on	FLRY3.SA	Fleury S.A.	Healthcare	0	0	0	0	0	1	
BBSE3	on	BBSE3.SA	BB Seguridade Participações S.A.	Financial	1	1	1	1	1	1	
TBLE3	off	NULLCODE	Tractebel Energia S.A.	Utilities	1	0	0	0	0	0	
CSAN3	on	CSAN3.SA	Cosan S.A. Indústria e Comércio	Basic Materials	1	1	1	1	1	1	
CMIG4	on	CMIG4.SA	Companhia Energética de Minas Gerais	Utilities	1	1	1	1	1	1	
QUAL3	on	QUAL3.SA	Qualicorp S.A.	Healthcare	1	1	1	1	1	1	
MRVE3	on	MRVE3.SA	MRV Engenharia e Participações S.A.	Industrial Goods	1	1	1	1	1	1	
CESP6	on	CESP6.SA	CESP - Companhia Energética de São Paulo	Utilities	1	0	0	0	0	0	
ENBR3	on	ENBR3.SA	EDP - Energias do Brasil S.A.	Utilities	1	1	1	1	1	1	
MGLU3	on	MGLU3.SA	Magazine Luiza S.A.	Services	0	0	0	0	0	1	
RENT3	on	RENT3.SA	Localiza Rent a Car S.A.	Services	1	1	1	1	1	1	
LAME4	on	LAME4.SA	Lojas Americanas S.A.	Services	1	1	1	1	1	1	
UGPA3	on	UGPA3.SA	Ultrapar Participações S.A.	Basic Materials	1	1	1	1	1	1	
BBAS3	on	BBAS3.SA	Banco do Brasil S.A.	Financial	1	1	1	1	1	1	
CYRE3	on	CYRE3.SA	Cyrela Brazil Realty S.A. Empreendimentos e Participações	Industrial Goods	1	1	1	1	1	1	
BRAP4	on	BRAP4.SA	Bradespar S.A.	Financial	1	1	1	1	1	1	
BRKM5	on	BRKM5.SA	Braskem S.A.	Basic Materials	1	1	1	1	1	1	
EGIE3	on	EGIE3.SA	Engie Brasil Energia S.A.	Utilities	0	1	1	1	1	1	
